,C,accuracy,f1,iter,precision,recall
0,0.001,0.672925,0.425756046,1,0.611062114,0.326687323
1,0.001,0.6569,0.45578555,50,0.554087929,0.387107638
2,0.001,0.65615,0.453729446,100,0.552845528,0.384750101
3,0.001,0.65675,0.453901838,200,0.554195804,0.384345952
4,0.001,0.65655,0.453322722,500,0.553870089,0.38367237
5,0.001,0.656625,0.454158884,1000,0.553843171,0.384884817
6,0.001,0.65665,0.454307057,5000,0.55386553,0.385086892
7,0.01,0.64895,0.38740075,1,0.549777117,0.299070457
8,0.01,0.65795,0.457580082,50,0.55608017,0.388724235
9,0.01,0.658125,0.458179801,100,0.556335995,0.389465176
10,0.01,0.658,0.457874297,200,0.556122449,0.389128385
11,0.01,0.658125,0.45796504,500,0.556390253,0.389128385
12,0.01,0.6581,0.458075765,1000,0.556304139,0.389330459
13,0.01,0.657875,0.457783589,5000,0.555854902,0.389128385
14,0.025,0.6661,0.374484826,1,0.614509683,0.269298127
15,0.025,0.658025,0.457204079,50,0.55634959,0.388050653
16,0.025,0.658225,0.458724314,100,0.556430698,0.390206116
17,0.025,0.65805,0.457824639,200,0.556251204,0.388993668
18,0.025,0.658075,0.458143497,500,0.556228956,0.389465176
19,0.025,0.65795,0.457966881,1000,0.55598307,0.389330459
20,0.025,0.65795,0.457838009,5000,0.556015399,0.389128385
21,0.05,0.667625,0.406605668,1,0.602592936,0.306816651
22,0.05,0.6582,0.457761561,50,0.556616512,0.388724235
23,0.05,0.6581,0.457774958,100,0.556380108,0.388858952
24,0.05,0.6581,0.45811871,200,0.556293303,0.389397818
25,0.05,0.658175,0.458130226,500,0.556464812,0.389330459
26,0.05,0.6581,0.45811871,1000,0.556293303,0.389397818
27,0.05,0.65805,0.457953555,5000,0.556218714,0.389195743
28,0.75,0.661275,0.39971645,1,0.58394822,0.30385289
29,0.75,0.65755,0.456773477,50,0.555351977,0.387915937
30,0.75,0.658125,0.457922068,100,0.556401117,0.389061027
31,0.75,0.6582,0.458191329,200,0.556507509,0.389397818
32,0.75,0.658225,0.458166541,500,0.556571979,0.389330459
33,0.75,0.658075,0.457885766,1000,0.556293942,0.389061027
34,0.75,0.6584,0.458808619,5000,0.556815997,0.390138758
35,0.1,0.65625,0.469070971,1,0.549583786,0.409133773
36,0.1,0.658175,0.457958375,50,0.556508334,0.389061027
37,0.1,0.658125,0.457621068,100,0.556477284,0.388589519
38,0.1,0.6581,0.457817951,200,0.556369243,0.38892631
39,0.1,0.65815,0.458026159,500,0.556432974,0.389195743
40,0.1,0.65815,0.457983193,1000,0.556443845,0.389128385
41,0.1,0.658375,0.458833314,5000,0.556751562,0.390206116
42,1,0.6585,0.40312855,1,0.573756219,0.310723427
43,1,0.658075,0.457670804,50,0.556348212,0.388724235
44,1,0.658125,0.457664089,100,0.55646639,0.388656877
45,1,0.65815,0.457983193,200,0.556443845,0.389128385
46,1,0.6581,0.457946889,500,0.556336672,0.389128385
47,1,0.658125,0.45796504,1000,0.556390253,0.389128385
48,1,0.658325,0.458754109,5000,0.556655454,0.390138758
49,1,0.6674,0.427292294,1,0.591960878,0.334298801
50,1,0.658175,0.45757131,50,0.556606505,0.388454803
51,1,0.6582,0.457804569,100,0.556605593,0.388791594
52,1,0.658025,0.457892442,200,0.556175989,0.389128385
53,1,0.658125,0.458008006,500,0.556379393,0.389195743
54,1,0.658075,0.457842787,1000,0.556304788,0.388993668
55,10,0.66555,0.443880944,1,0.579695983,0.359625488
56,10,0.658225,0.458338286,50,0.556528433,0.389599892
57,10,0.65805,0.458039464,100,0.556197075,0.389330459
58,10,0.6581,0.457860937,200,0.556358382,0.388993668
59,10,0.658,0.457788347,500,0.556144068,0.388993668
60,10,0.6582,0.45810543,1000,0.556529276,0.389263101
61,100,0.669225,0.397632597,1,0.613428852,0.294153307
62,100,0.6582,0.457761561,50,0.556616512,0.388724235
63,100,0.658075,0.457756809,100,0.556326491,0.388858952
64,100,0.658,0.457616367,200,0.556187355,0.388724235
65,100,0.658125,0.45796504,500,0.556390253,0.389128385
66,100,0.658125,0.45796504,1000,0.556390253,0.389128385
67,1000,0.6594,0.386251014,1,0.583106638,0.28876465
68,1000,0.6582,0.457804569,50,0.556605593,0.388791594
69,1000,0.658275,0.458031006,100,0.556722892,0.389061027
70,1000,0.658125,0.457922068,200,0.556401117,0.389061027
71,1000,0.6581,0.457903916,500,0.556347525,0.389061027
72,1000,0.658125,0.458008006,1000,0.556379393,0.389195743
73,10000,0.657175,0.395610208,1,0.572230014,0.302303651
74,10000,0.657925,0.457690936,50,0.555994222,0.38892631
75,10000,0.658225,0.458080628,100,0.556593777,0.389195743
76,10000,0.657975,0.457727219,200,0.556101319,0.38892631
77,10000,0.658125,0.45796504,500,0.556390253,0.389128385
78,10000,0.658125,0.457922068,1000,0.556401117,0.389061027
